QuestionID,ParticipantID,Answer,Time,QuestionNo,QuestionID,CorrectAnswer,Hypothesis,ParticipantID,Age,Gender,Profession,Education
H1C1R10ST,63,nancy,11.51,7,H1C1R10ST,Nancy,1,63,38,Female,Part-Time Student,Undergraduate
H1C4R10ST,63,Nillie,10.066,8,H1C4R10ST,Nillie,1,63,38,Female,Part-Time Student,Undergraduate
H1C2R10DT,63,79,10.649,9,H1C2R10DT,79,1,63,38,Female,Part-Time Student,Undergraduate
H1C2R15DB,63,70,15.542,10,H1C2R15DB,69,1,63,38,Female,Part-Time Student,Undergraduate
H1C2R20ST,63,Maria,14.985,11,H1C2R20ST,Maria,1,63,38,Female,Part-Time Student,Undergraduate
H1C1R5DB,63,45,8.097,12,H1C1R5DB,46,1,63,38,Female,Part-Time Student,Undergraduate
H1C1R15SB,64,Paige,44.807,1,H1C1R15SB,Paige,1,64,58,Female,Part-Time Employment,Undergraduate
H1C4R10ST,64,Nillie,16.165,2,H1C4R10ST,Nillie,1,64,58,Female,Part-Time Employment,Undergraduate
H1C2R15DB,64,$70,52.911,3,H1C2R15DB,69,1,64,58,Female,Part-Time Employment,Undergraduate
H1C1R5DB,64,$45,23.692,4,H1C1R5DB,46,1,64,58,Female,Part-Time Employment,Undergraduate
H1C2R10DT,64,$79,19.756,5,H1C2R10DT,79,1,64,58,Female,Part-Time Employment,Undergraduate
H1C4R20DT,64,$74,32.777,6,H1C4R20DT,74,1,64,58,Female,Part-Time Employment,Undergraduate
H1C1R10ST,64,Nancy,11.515,7,H1C1R10ST,Nancy,1,64,58,Female,Part-Time Employment,Undergraduate
H1C2R5SB,64,Kenan,24.839,8,H1C2R5SB,Kenan,1,64,58,Female,Part-Time Employment,Undergraduate
H1C4R5DB,64,$90,41.711,9,H1C4R5DB,93,1,64,58,Female,Part-Time Employment,Undergraduate
H1C4R15SB,64,Jake,32.488,10,H1C4R15SB,Angus,1,64,58,Female,Part-Time Employment,Undergraduate
H1C1R20DT,64,$108,10.91,11,H1C1R20DT,108,1,64,58,Female,Part-Time Employment,Undergraduate
H1C2R20ST,64,Maria,13.086,12,H1C2R20ST,Maria,1,64,58,Female,Part-Time Employment,Undergraduate
H1C1R10ST,65,NANCY,10.907,1,H1C1R10ST,Nancy,1,65,25,Male,Full-Time Employment,Undergraduate
H1C2R20ST,65,MARIA,16.881,2,H1C2R20ST,Maria,1,65,25,Male,Full-Time Employment,Undergraduate
H1C1R5DB,65,545,22.661,3,H1C1R5DB,46,1,65,25,Male,Full-Time Employment,Undergraduate
H1C2R10DT,65,$79,12.06,4,H1C2R10DT,79,1,65,25,Male,Full-Time Employment,Undergraduate
H1C2R15DB,65,$70,36.469,5,H1C2R15DB,69,1,65,25,Male,Full-Time Employment,Undergraduate
H1C4R15SB,65,JAKE,18.924,6,H1C4R15SB,Angus,1,65,25,Male,Full-Time Employment,Undergraduate
H1C1R20DT,65,$108,9.304,7,H1C1R20DT,108,1,65,25,Male,Full-Time Employment,Undergraduate
H1C4R10ST,65,NILLIE,7.535,8,H1C4R10ST,Nillie,1,65,25,Male,Full-Time Employment,Undergraduate
H1C4R5DB,65,$90,17.85,9,H1C4R5DB,93,1,65,25,Male,Full-Time Employment,Undergraduate
H1C1R15SB,65,PAIGO,20.163,10,H1C1R15SB,Paige,1,65,25,Male,Full-Time Employment,Undergraduate
H1C4R20DT,65,$74,18.624,11,H1C4R20DT,74,1,65,25,Male,Full-Time Employment,Undergraduate
H1C2R5SB,65,KEREN,12.466,12,H1C2R5SB,Kenan,1,65,25,Male,Full-Time Employment,Undergraduate
H1C2R10DB,66,80,26.822,1,H1C2R10DB,$79,1,66,38,Female,Unemployed,Undergraduate
H1C4R10SB,66,Lorenzo,54.948,2,H1C4R10SB,Nillie,1,66,38,Female,Unemployed,Undergraduate
H1C2R20SB,66,Kenan,18.97,3,H1C2R20SB,Maria,1,66,38,Female,Unemployed,Undergraduate
H1C1R10SB,66,Nancy,11.01,4,H1C1R10SB,Nancy,1,66,38,Female,Unemployed,Undergraduate
H1C1R20DB,66,150,17.362,5,H1C1R20DB,108,1,66,38,Female,Unemployed,Undergraduate
H1C1R15ST,66,Paige,12.464,6,H1C1R15ST,Paige,1,66,38,Female,Unemployed,Undergraduate
H1C2R5ST,66,Kenan,15.442,7,H1C2R5ST,Kenan,1,66,38,Female,Unemployed,Undergraduate
H1C4R20DB,66,120,29.541,8,H1C4R20DB,74,1,66,38,Female,Unemployed,Undergraduate
H1C1R5DT,66,46,6.26,9,H1C1R5DT,46,1,66,38,Female,Unemployed,Undergraduate
H1C4R15ST,66,Angus,11.303,10,H1C4R15ST,Angus,1,66,38,Female,Unemployed,Undergraduate
H1C2R15DT,66,69,9.581,11,H1C2R15DT,69,1,66,38,Female,Unemployed,Undergraduate
H1C4R5DT,66,93,19.81,12,H1C4R5DT,93,1,66,38,Female,Unemployed,Undergraduate
H1C4R5DB,67,900,15.872,1,H1C4R5DB,93,1,67,32,Male,Full-Time Employment,PHD
H1C2R5SB,67,cristaro,30.83,2,H1C2R5SB,Kenan,1,67,32,Male,Full-Time Employment,PHD
H1C1R20DT,67,108,8.947,3,H1C1R20DT,108,1,67,32,Male,Full-Time Employment,PHD
H1C2R15DB,67,70,44.378,4,H1C2R15DB,69,1,67,32,Male,Full-Time Employment,PHD
H1C4R10ST,67,nillie,27.275,5,H1C4R10ST,Nillie,1,67,32,Male,Full-Time Employment,PHD
H1C2R20ST,67,maria,15.234,6,H1C2R20ST,Maria,1,67,32,Male,Full-Time Employment,PHD
H1C1R10ST,67,nancy,8.959,7,H1C1R10ST,Nancy,1,67,32,Male,Full-Time Employment,PHD
H1C4R20DT,67,74,68.075,8,H1C4R20DT,74,1,67,32,Male,Full-Time Employment,PHD
H1C2R10DT,67,79,9.03,9,H1C2R10DT,79,1,67,32,Male,Full-Time Employment,PHD
H1C1R5DB,67,45,11.19,10,H1C1R5DB,46,1,67,32,Male,Full-Time Employment,PHD
H1C1R15SB,67,paige,13.827,11,H1C1R15SB,Paige,1,67,32,Male,Full-Time Employment,PHD
H1C4R15SB,67,ava,32.016,12,H1C4R15SB,Angus,1,67,32,Male,Full-Time Employment,PHD
H1C2R20SB,68,Maria,37.417,1,H1C2R20SB,Maria,1,68,45,Male,Full-Time Employment,Undergraduate
H1C4R10SB,68,Nillie,42.782,2,H1C4R10SB,Nillie,1,68,45,Male,Full-Time Employment,Undergraduate
H1C1R15ST,68,Paige,15.131,3,H1C1R15ST,Paige,1,68,45,Male,Full-Time Employment,Undergraduate
H1C2R10DB,68,$78,19.847,4,H1C2R10DB,$79,1,68,45,Male,Full-Time Employment,Undergraduate
H1C1R5DT,68,$46,29.632,5,H1C1R5DT,46,1,68,45,Male,Full-Time Employment,Undergraduate
H1C1R20DB,68,$108,32.205,6,H1C1R20DB,108,1,68,45,Male,Full-Time Employment,Undergraduate
H1C4R20DB,68,$75,30.127,7,H1C4R20DB,74,1,68,45,Male,Full-Time Employment,Undergraduate
H1C4R15ST,68,Angus,11.427,8,H1C4R15ST,Angus,1,68,45,Male,Full-Time Employment,Undergraduate
H1C1R10SB,68,Nancy,11.902,9,H1C1R10SB,Nancy,1,68,45,Male,Full-Time Employment,Undergraduate
H1C4R5DT,68,$93,13.469,10,H1C4R5DT,93,1,68,45,Male,Full-Time Employment,Undergraduate
H1C2R5ST,68,Kenan,11.628,11,H1C2R5ST,Kenan,1,68,45,Male,Full-Time Employment,Undergraduate
H1C2R15DT,68,$69,11.052,12,H1C2R15DT,69,1,68,45,Male,Full-Time Employment,Undergraduate
H1C2R5ST,69,Kenan,10.01,1,H1C2R5ST,Kenan,1,69,40,Male,Full-Time Employment,Postgraduate
H1C1R15ST,69,Paige,8.915,2,H1C1R15ST,Paige,1,69,40,Male,Full-Time Employment,Postgraduate
H1C2R20SB,69,Maria,29.073,3,H1C2R20SB,Maria,1,69,40,Male,Full-Time Employment,Postgraduate
H1C2R15DT,69,69,8.211,4,H1C2R15DT,69,1,69,40,Male,Full-Time Employment,Postgraduate
H1C4R15ST,69,Angus,8.288,5,H1C4R15ST,Angus,1,69,40,Male,Full-Time Employment,Postgraduate
H1C1R20DB,69,108,18.046,6,H1C1R20DB,108,1,69,40,Male,Full-Time Employment,Postgraduate
H1C4R10SB,69,Nillie,19.144,7,H1C4R10SB,Nillie,1,69,40,Male,Full-Time Employment,Postgraduate
H1C1R5DT,69,46,6.368,8,H1C1R5DT,46,1,69,40,Male,Full-Time Employment,Postgraduate
H1C4R5DT,69,93,7.041,9,H1C4R5DT,93,1,69,40,Male,Full-Time Employment,Postgraduate
H1C1R10SB,69,Nancy,10.222,10,H1C1R10SB,Nancy,1,69,40,Male,Full-Time Employment,Postgraduate
H1C2R10DB,69,79,11.428,11,H1C2R10DB,$79,1,69,40,Male,Full-Time Employment,Postgraduate
H1C4R20DB,69,78,32.496,12,H1C4R20DB,74,1,69,40,Male,Full-Time Employment,Postgraduate
H1C4R5DT,70,93,16.209,1,H1C4R5DT,93,1,70,35,Male,Full-Time Employment,High School
H1C1R20DB,70,108,31.04,2,H1C1R20DB,108,1,70,35,Male,Full-Time Employment,High School
H1C1R15ST,70,Paige,13.438,3,H1C1R15ST,Paige,1,70,35,Male,Full-Time Employment,High School
H1C4R20DB,70,75,29.889,4,H1C4R20DB,74,1,70,35,Male,Full-Time Employment,High School
H1C2R10DB,70,79,13.316,5,H1C2R10DB,$79,1,70,35,Male,Full-Time Employment,High School
H1C2R5ST,70,Kenan,9.604,6,H1C2R5ST,Kenan,1,70,35,Male,Full-Time Employment,High School
H1C2R20SB,70,Maria,15.009,7,H1C2R20SB,Maria,1,70,35,Male,Full-Time Employment,High School
H1C1R10SB,70,Nancy,11.919,8,H1C1R10SB,Nancy,1,70,35,Male,Full-Time Employment,High School
H1C2R15DT,70,69,10.129,9,H1C2R15DT,69,1,70,35,Male,Full-Time Employment,High School
H1C1R5DT,70,46,7.288,10,H1C1R5DT,46,1,70,35,Male,Full-Time Employment,High School
H1C4R15ST,70,Angus,17.311,11,H1C4R15ST,Angus,1,70,35,Male,Full-Time Employment,High School
H1C4R10SB,70,Nillie,23.823,12,H1C4R10SB,Nillie,1,70,35,Male,Full-Time Employment,High School
H1C2R15DT,73,$69,27.049,1,H1C2R15DT,69,1,73,56,Female,Full-Time Employment,Other
H1C1R15ST,73,PAIGE,9.05,2,H1C1R15ST,Paige,1,73,56,Female,Full-Time Employment,Other
H1C4R15ST,73,ANGUS,13.848,3,H1C4R15ST,Angus,1,73,56,Female,Full-Time Employment,Other
H1C2R5ST,73,KENAN,7.05,4,H1C2R5ST,Kenan,1,73,56,Female,Full-Time Employment,Other
H1C4R20DB,73,$80,24.29,5,H1C4R20DB,74,1,73,56,Female,Full-Time Employment,Other
H1C1R10SB,73,NANCY,17.393,6,H1C1R10SB,Nancy,1,73,56,Female,Full-Time Employment,Other
H1C2R10DB,73,$78,13.517,7,H1C2R10DB,$79,1,73,56,Female,Full-Time Employment,Other
H1C1R20DB,73,$108,16.292,8,H1C1R20DB,108,1,73,56,Female,Full-Time Employment,Other
H1C2R20SB,73,MARIA,14.834,9,H1C2R20SB,Maria,1,73,56,Female,Full-Time Employment,Other
H1C1R5DT,73,$46,7.775,10,H1C1R5DT,46,1,73,56,Female,Full-Time Employment,Other
H1C4R10SB,73,NILLIE,15.541,11,H1C4R10SB,Nillie,1,73,56,Female,Full-Time Employment,Other
H1C4R5DT,73,$93,9.061,12,H1C4R5DT,93,1,73,56,Female,Full-Time Employment,Other
H1C1R10SB,74,Nancy,25.539,1,H1C1R10SB,Nancy,1,74,48,Male,Full-Time Employment,Undergraduate
H1C1R5DB,75,$45,44.221,1,H1C1R5DB,46,1,75,34,Male,Full-Time Employment,Undergraduate
H1C2R20ST,75,Maria,35.581,2,H1C2R20ST,Maria,1,75,34,Male,Full-Time Employment,Undergraduate
H1C1R10ST,75,Nancy,13.095,3,H1C1R10ST,Nancy,1,75,34,Male,Full-Time Employment,Undergraduate
H1C2R10DT,75,$79,16.557,4,H1C2R10DT,79,1,75,34,Male,Full-Time Employment,Undergraduate
H1C4R10ST,75,Nillie,28.029,5,H1C4R10ST,Nillie,1,75,34,Male,Full-Time Employment,Undergraduate
H1C2R15DB,75,$75,83.587,6,H1C2R15DB,69,1,75,34,Male,Full-Time Employment,Undergraduate
H1C1R20DT,75,$108,15.413,7,H1C1R20DT,108,1,75,34,Male,Full-Time Employment,Undergraduate
H1C2R5SB,75,Kenan,35.047,8,H1C2R5SB,Kenan,1,75,34,Male,Full-Time Employment,Undergraduate
H1C4R5DB,75,$85,85.94,9,H1C4R5DB,93,1,75,34,Male,Full-Time Employment,Undergraduate
H1C4R20DT,75,$74,24.411,10,H1C4R20DT,74,1,75,34,Male,Full-Time Employment,Undergraduate
H1C1R15SB,75,Paige,33.268,11,H1C1R15SB,Paige,1,75,34,Male,Full-Time Employment,Undergraduate
H1C4R15SB,75,Angus,42.091,12,H1C4R15SB,Angus,1,75,34,Male,Full-Time Employment,Undergraduate
H1C1R15SB,76,Rebecca,36.322,1,H1C1R15SB,Paige,1,76,59,Female,Full-Time Employment,Undergraduate
H1C2R10DT,76,$79,15.576,2,H1C2R10DT,79,1,76,59,Female,Full-Time Employment,Undergraduate
H1C4R20DT,76,$74,18.494,3,H1C4R20DT,74,1,76,59,Female,Full-Time Employment,Undergraduate
H1C4R10ST,76,Nillie,12.783,4,H1C4R10ST,Nillie,1,76,59,Female,Full-Time Employment,Undergraduate
H1C2R5SB,76,Kenan,63.269,5,H1C2R5SB,Kenan,1,76,59,Female,Full-Time Employment,Undergraduate
H1C4R15SB,76,Angus,61.989,6,H1C4R15SB,Angus,1,76,59,Female,Full-Time Employment,Undergraduate
H1C1R5DB,76,$45,15.157,7,H1C1R5DB,46,1,76,59,Female,Full-Time Employment,Undergraduate
H1C2R20ST,76,Maria,13.696,8,H1C2R20ST,Maria,1,76,59,Female,Full-Time Employment,Undergraduate
H1C2R15DB,76,$78,27.647,9,H1C2R15DB,69,1,76,59,Female,Full-Time Employment,Undergraduate
H1C1R10ST,76,Nancy,8.531,10,H1C1R10ST,Nancy,1,76,59,Female,Full-Time Employment,Undergraduate
H1C4R5DB,76,$97,18.252,11,H1C4R5DB,93,1,76,59,Female,Full-Time Employment,Undergraduate
H1C1R20DT,76,$108,10.998,12,H1C1R20DT,108,1,76,59,Female,Full-Time Employment,Undergraduate
H1C1R10SB,77,Nancy,24.681,1,H1C1R10SB,Nancy,1,77,29,Female,Full-Time Employment,Postgraduate
H1C2R20SB,77,Maria,68.086,2,H1C2R20SB,Maria,1,77,29,Female,Full-Time Employment,Postgraduate
H1C4R20DB,77,75,38.595,3,H1C4R20DB,74,1,77,29,Female,Full-Time Employment,Postgraduate
H1C4R5DT,77,93,15.917,4,H1C4R5DT,93,1,77,29,Female,Full-Time Employment,Postgraduate
H1C2R15DT,77,69,13.511,5,H1C2R15DT,69,1,77,29,Female,Full-Time Employment,Postgraduate
H1C1R5DT,77,46,11.942,6,H1C1R5DT,46,1,77,29,Female,Full-Time Employment,Postgraduate
H1C2R10DB,77,79,27.123,7,H1C2R10DB,$79,1,77,29,Female,Full-Time Employment,Postgraduate
H1C1R20DB,77,100,31.096,8,H1C1R20DB,108,1,77,29,Female,Full-Time Employment,Postgraduate
H1C1R15ST,77,Paige,16.96,9,H1C1R15ST,Paige,1,77,29,Female,Full-Time Employment,Postgraduate
H1C4R15ST,77,Angus,14.944,10,H1C4R15ST,Angus,1,77,29,Female,Full-Time Employment,Postgraduate
H1C2R5ST,77,Kenan,12.883,11,H1C2R5ST,Kenan,1,77,29,Female,Full-Time Employment,Postgraduate
H1C4R10SB,77,Nillie,36.251,12,H1C4R10SB,Nillie,1,77,29,Female,Full-Time Employment,Postgraduate
H1C2R5ST,78,22,7.052,1,H1C2R5ST,Kenan,1,78,29,Female,Part-Time Employment,Postgraduate
H1C2R10DB,78,22,6.794,2,H1C2R10DB,$79,1,78,29,Female,Part-Time Employment,Postgraduate
H1C4R15ST,78,22,3.469,3,H1C4R15ST,Angus,1,78,29,Female,Part-Time Employment,Postgraduate
H1C1R15ST,78,22,3.337,4,H1C1R15ST,Paige,1,78,29,Female,Part-Time Employment,Postgraduate
H1C1R5DT,78,22,2.546,5,H1C1R5DT,46,1,78,29,Female,Part-Time Employment,Postgraduate
H1C4R10SB,78,22,8.86,6,H1C4R10SB,Nillie,1,78,29,Female,Part-Time Employment,Postgraduate
H1C4R20DB,78,22,5.292,7,H1C4R20DB,74,1,78,29,Female,Part-Time Employment,Postgraduate
H1C1R10SB,78,22,41.125,10,H1C1R10SB,Nancy,1,78,29,Female,Part-Time Employment,Postgraduate
H1C1R10SB,79,NANCY ,17.358,1,H1C1R10SB,Nancy,1,79,27,Male,Full-Time Employment,Undergraduate
H1C2R5ST,79,KENAN,10.748,2,H1C2R5ST,Kenan,1,79,27,Male,Full-Time Employment,Undergraduate
H1C2R10DB,79,79,12.999,3,H1C2R10DB,$79,1,79,27,Male,Full-Time Employment,Undergraduate
H1C1R20DB,79,108,15.579,4,H1C1R20DB,108,1,79,27,Male,Full-Time Employment,Undergraduate
H1C1R5DT,79,46,6.986,5,H1C1R5DT,46,1,79,27,Male,Full-Time Employment,Undergraduate
H1C2R20SB,79,MARIA,14.095,6,H1C2R20SB,Maria,1,79,27,Male,Full-Time Employment,Undergraduate
H1C4R5DT,79,93,7.99,7,H1C4R5DT,93,1,79,27,Male,Full-Time Employment,Undergraduate
H1C4R15ST,79,ANGUS,8.671,8,H1C4R15ST,Angus,1,79,27,Male,Full-Time Employment,Undergraduate
H1C2R15DT,79,69,9.049,9,H1C2R15DT,69,1,79,27,Male,Full-Time Employment,Undergraduate
H1C4R10SB,79,NILLIE,25.006,10,H1C4R10SB,Nillie,1,79,27,Male,Full-Time Employment,Undergraduate
H1C1R15ST,79,PAIGE,7.955,11,H1C1R15ST,Paige,1,79,27,Male,Full-Time Employment,Undergraduate
H1C4R20DB,79,75,15.178,12,H1C4R20DB,74,1,79,27,Male,Full-Time Employment,Undergraduate
H1C4R20DT,80,74,19.117,1,H1C4R20DT,74,1,80,33,Male,Full-Time Employment,Undergraduate
H1C2R5SB,80,Kenan,18.032,2,H1C2R5SB,Kenan,1,80,33,Male,Full-Time Employment,Undergraduate
H1C1R15SB,80,Paige,15.813,3,H1C1R15SB,Paige,1,80,33,Male,Full-Time Employment,Undergraduate
H1C4R15SB,80,Angus,29.014,4,H1C4R15SB,Angus,1,80,33,Male,Full-Time Employment,Undergraduate
H1C1R10ST,80,Nancy,8.354,5,H1C1R10ST,Nancy,1,80,33,Male,Full-Time Employment,Undergraduate
H1C2R15DB,80,70,25.802,6,H1C2R15DB,69,1,80,33,Male,Full-Time Employment,Undergraduate
H1C1R5DB,80,45,14.523,7,H1C1R5DB,46,1,80,33,Male,Full-Time Employment,Undergraduate
H1C4R10ST,80,Nillie,9.7,8,H1C4R10ST,Nillie,1,80,33,Male,Full-Time Employment,Undergraduate
H1C2R10DT,80,79,8.953,9,H1C2R10DT,79,1,80,33,Male,Full-Time Employment,Undergraduate
H1C2R20ST,80,Maria,14.652,10,H1C2R20ST,Maria,1,80,33,Male,Full-Time Employment,Undergraduate
H1C1R20DT,80,108,9.308,11,H1C1R20DT,108,1,80,33,Male,Full-Time Employment,Undergraduate
H1C4R5DB,80,90,26.253,12,H1C4R5DB,93,1,80,33,Male,Full-Time Employment,Undergraduate
H1C2R5SB,81,Kenan,78.07,1,H1C2R5SB,Kenan,1,81,33,Female,Full-Time Employment,Undergraduate
H1C4R20DT,81,$74,39.021,2,H1C4R20DT,74,1,81,33,Female,Full-Time Employment,Undergraduate
H1C4R15SB,81,Jake,66.651,3,H1C4R15SB,Angus,1,81,33,Female,Full-Time Employment,Undergraduate
H1C2R10DT,81,$79,21.593,4,H1C2R10DT,79,1,81,33,Female,Full-Time Employment,Undergraduate
H1C1R15SB,81,Paige,44.295,5,H1C1R15SB,Paige,1,81,33,Female,Full-Time Employment,Undergraduate
H1C1R20DT,81,$108,35.167,6,H1C1R20DT,108,1,81,33,Female,Full-Time Employment,Undergraduate
H1C1R5DB,81,45,77.812,7,H1C1R5DB,46,1,81,33,Female,Full-Time Employment,Undergraduate
H1C4R5DB,81,$95,53.227,8,H1C4R5DB,93,1,81,33,Female,Full-Time Employment,Undergraduate
H1C2R15DB,81,$75,46.355,9,H1C2R15DB,69,1,81,33,Female,Full-Time Employment,Undergraduate
H1C4R10ST,81,Nillie,17.263,10,H1C4R10ST,Nillie,1,81,33,Female,Full-Time Employment,Undergraduate
H1C1R10ST,81,Nancy,12.685,11,H1C1R10ST,Nancy,1,81,33,Female,Full-Time Employment,Undergraduate
H1C2R20ST,81,Maria,22.906,12,H1C2R20ST,Maria,1,81,33,Female,Full-Time Employment,Undergraduate
H1C4R15SB,96,General Motors ,50.703,1,H1C4R15SB,Angus,1,96,34,Female,Part-Time Student,Undergraduate
H3D1T,97,0.5,32.691,1,H3D1T,0.75,3,97,59,Male,Unemployed,Undergraduate
H3D8T,97,2,15.326,2,H3D8T,0.5,3,97,59,Male,Unemployed,Undergraduate
H3D2T,97,0.6,29.98,3,H3D2T,1.5,3,97,59,Male,Unemployed,Undergraduate
H3D8B2,97,0.7,22.119,4,H3D8B2,1.5,3,97,59,Male,Unemployed,Undergraduate
H3D16B2,97,0.95,29.767,5,H3D16B2,3,3,97,59,Male,Unemployed,Undergraduate
H3D16T,97,0.6,25.267,6,H3D16T,0.75,3,97,59,Male,Unemployed,Undergraduate
H3D1B2,97,0.4,19.454,7,H3D1B2,3,3,97,59,Male,Unemployed,Undergraduate
H3D0B2,97,0.7,16.968,8,H3D0B2,1.5,3,97,59,Male,Unemployed,Undergraduate
H3D4B2,97,1.3,25.776,9,H3D4B2,0.75,3,97,59,Male,Unemployed,Undergraduate
H3D4T,97,0.4,13.002,10,H3D4T,3,3,97,59,Male,Unemployed,Undergraduate
H3D1B3,98,2,39.07,1,H3D1B3,0.5,3,98,45,Male,Full-Time Employment,High School
H3D0T,97,1.8,35.717,11,H3D0T,0.75,3,97,59,Male,Unemployed,Undergraduate
H3D2B2,97,2,16.529,12,H3D2B2,0.5,3,97,59,Male,Unemployed,Undergraduate
H3D16T2,99,1.013,64.277,1,H3D16T2,3,3,99,33,Male,Full-Time Employment,Postgraduate
H3D0T2,99,1.5,81.451,2,H3D0T2,1.5,3,99,33,Male,Full-Time Employment,Postgraduate
H3D0T3,100,2,59.136,1,H3D0T3,0.5,3,100,44,Female,Full-Time Employment,Postgraduate
H3D1T3,100,2,38.334,2,H3D1T3,0.5,3,100,44,Female,Full-Time Employment,Postgraduate
H3D2T,102,0.67,47.862,1,H3D2T,1.5,3,102,36,Male,Full-Time Employment,Undergraduate
H3D0B2,102,0.67,25.679,2,H3D0B2,1.5,3,102,36,Male,Full-Time Employment,Undergraduate
H3D0T,102,1.75,111.316,3,H3D0T,0.75,3,102,36,Male,Full-Time Employment,Undergraduate
H3D1T,102,1.5,30.209,4,H3D1T,0.75,3,102,36,Male,Full-Time Employment,Undergraduate
H3D16T,102,0.6,12.937,5,H3D16T,0.75,3,102,36,Male,Full-Time Employment,Undergraduate
H3D4T,102,0.4,102.515,6,H3D4T,3,3,102,36,Male,Full-Time Employment,Undergraduate
H3D4B2,102,1.3,19.702,7,H3D4B2,0.75,3,102,36,Male,Full-Time Employment,Undergraduate
H3D8T,102,2,26.572,8,H3D8T,0.5,3,102,36,Male,Full-Time Employment,Undergraduate
H3D16B2,102,1,30.416,9,H3D16B2,3,3,102,36,Male,Full-Time Employment,Undergraduate
H3D2B2,102,2,21.833,10,H3D2B2,0.5,3,102,36,Male,Full-Time Employment,Undergraduate
H3D8B2,102,0.7,23.968,11,H3D8B2,1.5,3,102,36,Male,Full-Time Employment,Undergraduate
H3D0T3,103,2,38.211,1,H3D0T3,0.5,3,103,54,Female,Part-Time Employment,Undergraduate
H3D1B2,102,0.35,17.693,12,H3D1B2,3,3,102,36,Male,Full-Time Employment,Undergraduate
H3D2T3,103,0.3,39.215,2,H3D2T3,3,3,103,54,Female,Part-Time Employment,Undergraduate
H3D4B3,103,2,59.989,3,H3D4B3,0.5,3,103,54,Female,Part-Time Employment,Undergraduate
H3D1B4,103,0.66,50.385,4,H3D1B4,1.5,3,103,54,Female,Part-Time Employment,Undergraduate
H3D0B4,103,0.3,36.146,5,H3D0B4,3,3,103,54,Female,Part-Time Employment,Undergraduate
H3D16B4,103,1.25,79.891,6,H3D16B4,1.5,3,103,54,Female,Part-Time Employment,Undergraduate
H3D8B4,103,2.3,42.39,7,H3D8B4,3,3,103,54,Female,Part-Time Employment,Undergraduate
H3D4T4,103,0.66,37.149,8,H3D4T4,1.5,3,103,54,Female,Part-Time Employment,Undergraduate
H3D1T3,103,2,18.373,9,H3D1T3,0.5,3,103,54,Female,Part-Time Employment,Undergraduate
H3D8T3,103,1.3,21.381,10,H3D8T3,0.75,3,103,54,Female,Part-Time Employment,Undergraduate
H3D16T3,103,0.95,21.556,11,H3D16T3,0.5,3,103,54,Female,Part-Time Employment,Undergraduate
H3D2B4,103,1.375,42.525,12,H3D2B4,0.75,3,103,54,Female,Part-Time Employment,Undergraduate
H3D16T3,104,4,207.355,1,H3D16T3,0.5,3,104,24,Male,Full-Time Employment,Undergraduate
H3D8T2,105,72,87.09,1,H3D8T2,1.5,3,105,40,Male,Full-Time Employment,High School
H3D0T2,105,48,13.659,2,H3D0T2,1.5,3,105,40,Male,Full-Time Employment,High School
H3D8T4,106,3,75.304,1,H3D8T4,3,3,106,40,Male,Full-Time Employment,High School
H3D4B4,106,1 1/2,75.136,2,H3D4B4,1.5,3,106,40,Male,Full-Time Employment,High School
H3D16B3,106,4,111.44,3,H3D16B3,0.5,3,106,40,Male,Full-Time Employment,High School
H3D8B3,106,30,30.286,4,H3D8B3,0.75,3,106,40,Male,Full-Time Employment,High School
H3D2T3,107,0.29,34.986,1,H3D2T3,3,3,107,40,Male,Full-Time Employment,High School
H3D4T4,107,0.66,16.73,2,H3D4T4,1.5,3,107,40,Male,Full-Time Employment,High School
H3D0B4,107,0.33,37.5,3,H3D0B4,3,3,107,40,Male,Full-Time Employment,High School
H3D8B4,107,0.33,26.777,4,H3D8B4,3,3,107,40,Male,Full-Time Employment,High School
H3D1T3,107,2,18.176,5,H3D1T3,0.5,3,107,40,Male,Full-Time Employment,High School
H3D16B4,107,1.23,23.872,6,H3D16B4,1.5,3,107,40,Male,Full-Time Employment,High School
H3D2B4,107,1.37,22.896,7,H3D2B4,0.75,3,107,40,Male,Full-Time Employment,High School
H3D0T3,107,2,25.741,8,H3D0T3,0.5,3,107,40,Male,Full-Time Employment,High School
H3D8T3,107,1.33,19.804,9,H3D8T3,0.75,3,107,40,Male,Full-Time Employment,High School
H3D4B3,107,2.01,29.095,10,H3D4B3,0.5,3,107,40,Male,Full-Time Employment,High School
H3D16T3,107,0.96,19.684,11,H3D16T3,0.5,3,107,40,Male,Full-Time Employment,High School
H3D1B4,107,0.66,22.74,12,H3D1B4,1.5,3,107,40,Male,Full-Time Employment,High School
H3D1B,108,120,17.769,1,H3D1B,0.75,3,108,39,Male,Full-Time Employment,Postgraduate
H3D16B,108,118,8.799,2,H3D16B,0.75,3,108,39,Male,Full-Time Employment,Postgraduate
H3D0T2,108,106,11.631,3,H3D0T2,1.5,3,108,39,Male,Full-Time Employment,Postgraduate
H3D8B,108,118,7.991,4,H3D8B,0.5,3,108,39,Male,Full-Time Employment,Postgraduate
H3D4T2,108,108,9.599,5,H3D4T2,0.75,3,108,39,Male,Full-Time Employment,Postgraduate
H3D16T2,108,119,12.294,6,H3D16T2,3,3,108,39,Male,Full-Time Employment,Postgraduate
